ID,Name,BasketArea,DeepPaint,LeftBaseline,LeftCorner,LeftWing2,LeftWing3,MidrangeSlot,RightBaseline,RightCorner3,RightWing2,RightWing3,TopOfArc
1,Aaron Brooks,114,254,44,21,13,94,21,48,17,10,92,85
2,Aaron Gordon,34,102,7,10,2,8,6,6,16,3,9,4
3,Adreian Payne,50,68,25,0,19,3,23,9,1,17,2,3
4,Al Horford,197,306,70,11,64,3,122,110,18,60,3,1
5,Al Jefferson,323,320,200,1,30,1,38,81,0,13,1,2
6,Al-Farouq Aminu,38,159,12,33,7,24,2,8,30,7,29,8
7,Alan Anderson,41,109,21,47,6,55,12,30,31,11,46,26
8,Alec Burks,50,96,21,6,15,22,12,15,11,23,14,13
9,Alex Len,52,207,22,1,5,0,26,29,0,9,1,0
10,Alexis Ajinca,96,132,27,0,11,0,18,37,0,8,0,0
11,Amir Johnson,135,303,5,5,7,7,8,10,5,5,20,9
12,Andre Drummond,231,687,9,0,0,0,1,30,0,1,0,0
13,Andre Iguodala,45,149,25,42,18,46,11,15,40,21,52,26
14,Andrea Bargnani,80,66,25,0,21,14,41,46,0,41,14,13
15,Andrew Bogut,122,214,6,0,2,0,0,11,0,0,0,0
16,Andrew Wiggins,184,397,106,22,38,39,56,161,10,69,40,14
17,Anthony Bennett,16,99,25,1,41,3,45,17,5,31,6,8
18,Anthony Davis,188,465,166,2,71,1,128,95,2,74,2,2
19,Anthony Morrow,89,56,50,57,14,82,21,43,60,17,72,54
20,Anthony Tolliver,14,62,10,44,2,49,0,13,70,2,88,39
21,Aron Baynes,64,203,13,0,4,2,17,19,1,3,1,0
22,Arron Afflalo,149,120,101,71,27,67,35,90,59,29,102,34
23,Austin Rivers,105,167,18,18,16,49,15,26,19,18,35,9
24,Avery Bradley,43,188,34,66,112,114,145,46,63,93,60,46
25,Ben McLemore,71,214,28,63,29,109,32,33,82,33,103,29
26,Beno Udrih,74,112,54,13,46,27,40,47,9,35,20,26
27,Blake Griffin,173,427,94,2,130,3,179,33,4,83,11,4
28,Bojan Bogdanovic,69,169,22,59,13,52,11,30,56,6,64,25
29,Boris Diaw,143,215,32,8,9,44,16,31,12,17,64,40
30,Bradley Beal,83,193,76,39,39,90,55,69,30,77,63,37
31,Brandan Wright,98,241,10,0,0,0,4,5,1,2,0,1
32,Brandon Bass,97,272,75,19,43,1,83,53,9,28,1,2
33,Brandon Jennings,58,165,49,18,16,69,13,22,14,9,53,56
34,Brandon Knight,81,251,47,42,52,121,61,20,25,55,81,52
35,Brian Roberts,43,52,32,5,29,51,36,43,23,24,59,52
36,Brook Lopez,321,352,55,0,33,2,76,94,4,46,2,2
37,C.J. Watson,30,84,32,23,31,65,12,31,24,22,34,26
38,Carl Landry,56,155,39,0,27,0,31,34,0,27,0,0
39,Carmelo Anthony,68,190,106,12,35,54,21,126,5,81,76,31
40,Chandler Parsons,104,287,17,50,10,108,18,29,49,17,97,43
41,Channing Frye,29,26,18,14,13,90,11,24,20,20,120,102
42,Chase Budinger,50,118,15,23,8,35,16,27,21,13,47,17
43,Chris Andersen,13,152,10,2,4,1,6,3,5,6,1,1
44,Chris Bosh,97,135,58,7,44,53,37,130,13,76,49,46
45,Chris Paul,184,130,79,35,87,124,79,156,13,106,75,102
46,CJ McCollum,38,84,31,28,16,28,16,28,19,13,46,18
47,CJ Miles,63,127,40,36,29,81,53,32,77,37,165,82
48,Cody Zeller,25,198,12,0,25,0,61,13,0,38,0,1
49,Cole Aldrich,138,137,10,0,1,0,0,14,0,1,0,0
