Rank,PPG,TOperG,RedzoneTDDefensePcg,PtsAllowedperG,Power5,TOsL
1,39.2,30:36.1,57.89,18,1,28
2,38.8,30:55.9,48,13,1,19
3,34.4,31:54.2,65.79,24.2,1,20
4,41.8,31:03.1,54.55,17.7,1,15
5,43.9,32:16.1,47.83,28.8,1,17
6,39.4,33:10.4,37.5,15.5,1,12
7,37.6,27:44.1,60.42,25.4,1,20
8,35.1,32:55.4,57.78,25,1,20
9,28.4,34:58.2,44.74,15.6,1,16
10,40.3,33:02.9,50,14.1,1,12
11,38.6,28:50.8,58.33,26.5,1,14
12,26.3,32:46.8,57.78,20.4,1,18
13,28.3,31:07.7,24.24,15.8,1,17
14,23.9,31:13.1,46.15,16.8,1,22
15,41.6,34:02.6,58.33,19.8,0,8
16,35,31:15.4,60.98,22.8,1,26
17,31.1,30:50.9,51.06,21.7,1,20
18,31.2,29:07.4,50,24,1,21
19,43.8,26:48.9,61.67,31.6,0,17
20,34.3,27:58.8,51.28,18.5,1,10
21,42.5,28:46.8,62.86,23.8,1,32
22,36.4,27:24.1,62,28.8,1,26
23,29.8,33:48.3,62.16,23.9,1,25
24,31.2,29:10.8,41.86,17.1,1,14
25,35.2,31:22.7,66.67,20.2,0,15
1,35.1,33:35.3,46.67,15.1,1,17
2,38.5,31:56.2,57.14,21.7,1,27
3,37.8,34:47.9,44.68,22.6,1,13
4,35.7,29:15.9,61.29,15.1,1,18
5,43.5,30:41.6,53.49,22,1,18
6,29.8,32:51.6,63.41,21.7,1,14
7,42.1,31:21.8,60,27.2,1,19
8,40.4,31:19.6,71.43,20.7,0,14
9,30.9,31:37.9,50,20.4,1,16
10,40.8,26:31.6,50,22.6,1,23
11,34.2,29:38.7,65.85,24.1,1,20
12,31.4,33:27.8,41.18,16.4,1,16
13,48.1,27:51.8,71.43,28.3,1,26
14,31.7,29:25.3,48.57,17.5,1,15
15,40.7,25:16.4,62.07,24.5,1,19
16,24.7,29:16.8,69.44,24.3,1,22
17,30.6,32:43.3,56.52,22.3,1,21
18,36.8,32:57.1,60.53,21.8,0,8
19,43,27:15.4,69.7,37.5,1,17
20,39.5,29:28.6,66.67,30.5,1,15
21,26.8,33:51.5,44,13.7,1,18
22,35.2,30:32.3,56.1,20,1,12
23,19.5,29:48.1,56.76,18.6,1,20
24,44.3,30:11.4,61.22,25.9,0,17
25,23.2,30:58.4,48.72,18.3,1,17
1,44.8,31:30.3,68.89,22,1,26
2,45.4,26:49.0,62.71,23.6,1,11
3,46.5,30:37.4,40.63,19,1,22
4,36.9,31:44.5,38.64,18.4,1,22
5,33.7,28:56.6,53.85,25.6,1,32
6,43,35:21.2,70,21.5,1,15
7,48.2,29:02.9,68.42,25.5,1,13
8,37.9,34:09.4,52.83,25.7,1,18
9,41.3,29:16.2,67.5,20.7,1,13
10,33.5,29:09.9,60,28.1,1,16
11,36.9,29:37.4,43.18,21.7,1,23
12,36.9,28:42.4,56.52,27.9,1,13
13,34.6,33:38.6,59.38,20.8,1,26
14,27.8,28:59.8,63.16,21.1,1,16
15,30.8,31:23.3,55.56,16.7,1,18
16,39.7,31:27.4,57.78,26.8,0,24
17,28.3,28:14.2,41.18,16,1,25
18,35.8,32:43.9,58.97,23.2,1,13
19,34.5,27:13.8,60.38,28.2,1,18
20,35.8,30:34.2,53.7,25.2,1,12
21,31.3,29:52.2,64.1,24.9,1,16
22,35.5,29:52.7,55.56,26.7,1,20
23,45.6,28:33.0,50.98,21,0,24
24,31.2,32:31.6,41.03,21.8,1,26
25,36.2,30:07.1,50,19.5,1,20
1,51.6,29:24.0,53.33,12.1,1,18
2,39.5,30:22.4,50,24.7,1,19
3,29.4,33:19.0,46.67,13.2,1,15
4,34.1,32:00.9,58.7,20.3,1,17
